name,theme-primary,theme-secondary::Health,theme-secondary::Environment,theme-secondary::Education,theme-secondary::Finance,theme-secondary::Society,theme-secondary::Defence,theme-secondary::Transportation,theme-secondary::Location,theme-secondary::Spending data,theme-secondary::Government,theme-secondary::Spending
abuse-of-vulnerable-adults-in-england-2010-11-final-report-experimental-statistics,Health,True,,,,,,,,,,
abuse-of-vulnerable-adults-in-england-2010-11-provisional-experimental-statistics,Health,True,,,,,,,,,,
abuse-of-vulnerable-adults-in-england-2011-12-provisional-report-experimental-statistics,Health,True,,,,,,,,,,
abuse-of-vulnerable-adults-in-england-october-2009-march-2010-experimental-statistics,Health,True,,,,,,,,,,
__academic_achievement_and_entitlement_to_free_school_meals_wales,,,,,,,,,,,,
academic_achievement_and_entitlement_to_free_school_meals_wales,,,,,,,,,,,,
__academic_achievement_by_pupil_characteristics_wales,,,,,,,,,,,,
academic_achievement_by_pupil_characteristics_wales,,,,,,,,,,,,
acas-spend-april-over-500,Spending,,,,,,,,,,,
acas-spend-july-over-500,Spending,,,,,,,,,,,
acas-spend-march-over-500,Spending,,,,,,,,,,,
acas-spend-may11-over-500,Spending,,,,,,,,,,,
__access_arrangements_for_gcse_and_gce,,,,,,,,,,,,
access_arrangements_for_gcse_and_gce,,,,,,,,,,,,
accessibility-destination-datasets,Transportation,True,,True,,,,,,,,
accessibility_indicators,,,,,,,,,,,,
accessibility_statistics,,,,,,,,,,,,
__accessni_customer_survey,,,,,,,,,,,,
accessni_customer_survey,,,,,,,,,,,,
accessni_customer_survey_,,,,,,,,,,,,
access_to_finance,,,,,,,,,,,,
__access_to_work_official_statistics,,,,,,,,,,,,
access_to_work_official_statistics,,,,,,,,,,,,
accidental_dwelling_fires,Environment,,True,,,,,,,,,
accidental_falls_-_mortality_rate,,,,,,,,,,,,
__accident_and_emergency,,,,,,,,,,,,
accident_and_emergency,,,,,,,,,,,,
__accident_and_emergency_activity,,,,,,,,,,,,
accident_and_emergency_activity,,,,,,,,,,,,
__accident_and_emergency_attendances_in_england_experimental_statistics,,,,,,,,,,,,
accident_and_emergency_attendances_in_england_experimental_statistics,,,,,,,,,,,,
accident-and-emergency-attendances-in-england-experimental-statistics-2010-11,Health,True,,,,,,,,,,
accident_and_emergency_statistics,,,,,,,,,,,,
__accident_and_emergency_waiting_times,,,,,,,,,,,,
__accident_and_emergency_waiting_times_,,,,,,,,,,,,
__accident_and_emergency_waiting_times__,,,,,,,,,,,,
accident_and_emergency_waiting_times,,,,,,,,,,,,
accident_and_emergency_waiting_times___,,,,,,,,,,,,
accident_and_emergency_waiting_times____,,,,,,,,,,,,
accident_and_emergency_waiting_times_-_none,,,,,,,,,,,,
accident_cluster_sites_and_fatal_road_accidents_on_the_welsh_trans-european_road_network,,,,,,,,,,,,
accident_emergency_care_statistics,,,,,,,,,,,,
accommodation_type_and_car_or_van_availability_by_number_of_people_aged_17_or_over_in_the_household,,,,,,,,,,,,
__achievement_and_attainment_tables_for_gce-vce-applied_a-as_and_equivalent_results_in_england,,,,,,,,,,,,
__achievement_and_attainment_tables_for_gce-vce-applied_a-as_and_equivalent_results_in_england_,,,,,,,,,,,,
achievement_and_attainment_tables_for_gce-vce-applied_a-as_and_equivalent_results_in_england,,,,,,,,,,,,
__achievement_and_attainment_tables_for_gcse_and_equivalent_results_in_england,,,,,,,,,,,,
achievement_and_attainment_tables_for_gcse_and_equivalent_results_in_england,,,,,,,,,,,,
__achievement_and_attainment_tables_for_national_curriculum_assessments_at_key_stage_2,,,,,,,,,,,,
achievement_and_attainment_tables_for_national_curriculum_assessments_at_key_stage_2,,,,,,,,,,,,
acidity-of-stream-water,,,,,,,,,,,,
ac-organogram-at-30-sept-11,Spending,,,,,,,,,,,
acquisitive-crime-plastic-card-fraud,,,,,,,,,,,,
__action_plan_for_improving_oral_health_and_modernising_nhs_dental_services,,,,,,,,,,,,
__action_plan_for_improving_oral_health_and_modernising_nhs_dental_services_,,,,,,,,,,,,
action_plan_for_improving_oral_health_and_modernising_nhs_dental_services,,,,,,,,,,,,
__acute_and_non-acute_delayed_transfers_of_care-monthly_situation_reports,,,,,,,,,,,,
acute_and_non-acute_delayed_transfers_of_care-monthly_situation_reports,,,,,,,,,,,,
acute_and_non-acute_delayed_transfers_of_care-monthly_situation_reports_,,,,,,,,,,,,
__acute_and_non-acute_delayed_transfers_of_care_-_monthly_situation_reports_-_august_2010,,,,,,,,,,,,
__acute_hospital_activity,,,,,,,,,,,,
__acute_hospital_activity_,,,,,,,,,,,,
acute_hospital_activity,,,,,,,,,,,,
__acute_hospital_activity_and_nhs_beds_information,,,,,,,,,,,,
acute_hospital_activity_and_nhs_beds_information,,,,,,,,,,,,
acute_hospital_activity_-_none,,,,,,,,,,,,
acute_sickness,,,,,,,,,,,,
adapting-to-austerity,Society,,,,True,,,,,,,
additional-affordable-dwellings-provided-by-la-providing-funding-annual,Environment,,,,,,,,,,,
additional_affordable_dwellings_provided_by_local_authority_area_by_la_providing_funding,Environment,,,,,,,,,,,
additional-information-ai-scotland-and-northern-england,,,,,,,,,,,,
additional-intermediate-affordable-by-la-where-located,Environment,,,,,,,,,,,
additional-intermediate-affordable-homes-provided-by-la-providing-funding,Environment,,,,,,,,,,,
additional-social-rent-by-la-where-located,Environment,,,,,,,,,,,
additional_social_rent_dwellings_provided_by_local_authority_area_by_la_providing_funding,Environment,,,,,,,,,,,
additional-social-rented-homes-provided-by-la-providing-funding,Environment,,,,,,,,,,,
additional_statistics_on_student_support_applications_to_student_finance_england,,,,,,,,,,,,
__additional_student_support_release,,,,,,,,,,,,
additional_student_support_release,,,,,,,,,,,,
__additional_student_support_statistics,,,,,,,,,,,,
additional_student_support_statistics,,,,,,,,,,,,
additional-total-affordable-by-la-where-located,Environment,,,,,,,,,,,
additional_units_of_intermediate_affordable_housing_provided_by_local_authority_area_by_la_providing,Environment,,,,,,,,,,,
addressbase,,,,,,,,,,,,
addressbase-plus,,,,,,,,,,,,
addressbase-premium,,,,,,,,,,,,
__adjustments_for_measured_term_contracts,,,,,,,,,,,,
adjustments_for_measured_term_contracts,,,,,,,,,,,,
administrative-boundaries-public-face-areas,,,,,,,,,,,,
administrative-boundaries-public-face-areas-wfs,,,,,,,,,,,,
administrative-boundaries-public-face-areas-wms,,,,,,,,,,,,
administrative-boundaries-public-face-regions,,,,,,,,,,,,
administrative-boundaries-public-face-regions-wfs,,,,,,,,,,,,
administrative-boundaries-public-face-regions-wms,,,,,,,,,,,,
administrative-boundaries-water-management-areas,,,,,,,,,,,,
administrative-boundaries-water-management-areas-wfs,,,,,,,,,,,,
administrative-boundaries-water-management-areas-wms,,,,,,,,,,,,
administrative-boundaries-water-management-regions,,,,,,,,,,,,
administrative-boundaries-water-management-regions-wfs,,,,,,,,,,,,
administrative-boundaries-water-management-regions-wms,,,,,,,,,,,,
admission_appeals_for_maintained_primary_and_secondary_schools,,,,,,,,,,,,
_admission_appeals_for_maintained_primary_and_secondary_schools_in_england,,,,,,,,,,,,
admission_appeals_for_maintained_primary_and_secondary_schools_in_england,,,,,,,,,,,,
_admission_appeals_for_maintained_primary_and_secondary_schools_in_england_-_office_for_standards_in,,,,,,,,,,,,
_admission_of_patients_to_mental_health_facilities,,,,,,,,,,,,
admission_of_patients_to_mental_health_facilities,,,,,,,,,,,,
_adoption_of_looked_after_children_northern_ireland,,,,,,,,,,,,
adoption_of_looked_after_children_northern_ireland,,,,,,,,,,,,
_adoptions_in_england_and_wales,,,,,,,,,,,,
adoptions_in_england_and_wales,,,,,,,,,,,,
_adoptions_in_england_and_wales_provisional,,,,,,,,,,,,
_adoptions_outcomes_and_placements_for_children_looked_after_by_local_authorities_in_wales,,,,,,,,,,,,
adoptions_outcomes_and_placements_for_children_looked_after_by_local_authorities_in_wales,,,,,,,,,,,,
_adult_community_statistics,,,,,,,,,,,,
adult_community_statistics,,,,,,,,,,,,
_adult_critical_care_data_in_england,,,,,,,,,,,,
adult_critical_care_data_in_england,,,,,,,,,,,,
adult-critical-care-data-in-england-april-09-to-march-10,Health,True,,,,,,,,,,
_adult_critical_care_in_england,,,,,,,,,,,,
_adult_critical_care_in_england_,,,,,,,,,,,,
adult_critical_care_in_england,,,,,,,,,,,,
adult_critical_care_in_england__,,,,,,,,,,,,
adult_critical_care_in_england___,,,,,,,,,,,,
_adult_dental_health_survey,,,,,,,,,,,,
_adult_dental_health_survey_,,,,,,,,,,,,
adult_dental_health_survey,,,,,,,,,,,,
adult_dental_health_survey_2009_first_release,Health,True,,,,,,,,,,
adult-dental-health-survey-2009-summary-report-and-thematic-series,Health,True,,,,,,,,,,
_adult_mental_health_benchmarking_toolkit,,,,,,,,,,,,
adult_mental_health_benchmarking_toolkit,,,,,,,,,,,,
adult_participation_in_learning,,,,,,,,,,,,
_adult_psychiatric_morbidity_in_england,,,,,,,,,,,,
adult_psychiatric_morbidity_in_england,Health,True,,,,,,,,,,
adults_and_museums_in_northern_ireland,,,,,,,,,,,,
adults_and_sport_and_physical_activity_in_northern_ireland,,,,,,,,,,,,
adults_and_the_arts_in_northern_ireland,,,,,,,,,,,,
adults_and_the_public_library_service_in_northern_ireland,,,,,,,,,,,,
adult_skills_-_literacy_numeracy_technology_and_esol_estimates,,,,,,,,,,,,
adult-social-care-information-personal-social-services-staff-of-social-services-departments-england-,Health,True,,,,,,,,,,
adult_social_care_outcomes_framework,,,,,,,,,,,,
adult_social_care_survey_england,,,,,,,,,,,,
adult-social-care-survey-england-2011-12-final,Health,True,,,,,,,,,,
adults_with_a_psychotic_disorder_living_in_private_households,,,,,,,,,,,,
_adults_with_learning_disabilities_scotland,,,,,,,,,,,,
adults_with_learning_disabilities_scotland,,,,,,,,,,,,
adults_with_physical_disabilities_helped_to_live_at_home,,,,,,,,,,,,
advert-control-areas,,,,,,,,,,,,
_ae_activity_cancelled_operations_and_critical_care_bed_capacity_-_monthly_situation_reports,,,,,,,,,,,,
ae_activity_cancelled_operations_and_critical_care_bed_capacity-monthly_situation_reports,,,,,,,,,,,,
_ae_and_ambulance_weekly_data,,,,,,,,,,,,
ae_and_ambulance_weekly_data,,,,,,,,,,,,
_aerospace_and_electronic_cost_indices,,,,,,,,,,,,
aerospace_and_electronic_cost_indices,,,,,,,,,,,,
aerospace_and_electronic_cost_indices_,,,,,,,,,,,,
aerospace_and_electronic_cost_indices_-_none,,,,,,,,,,,,
_ae_weekly_data,,,,,,,,,,,,
ae_weekly_data,,,,,,,,,,,,
ae_weekly_data_,,,,,,,,,,,,
ae_weekly_data__,,,,,,,,,,,,
afbi-environmentally-sensitive-areas-ni-download,,,,,,,,,,,,
afbi-environmentally-sensitive-areas-ni-inspire-view-service,,,,,,,,,,,,
afbi-environmentally-sensitive-areas-ni-metadata,,,,,,,,,,,,
afbi-primary-river-basin-catchments-ni-download,,,,,,,,,,,,
afbi-primary-river-basin-catchments-ni-inspire-view-service,,,,,,,,,,,,
afbi-primary-river-basin-catchments-ni-metadata,,,,,,,,,,,,
afbi-seabed-imagery-metadata,,,,,,,,,,,,
afbi-seabed-imagery-sites-where-seabed-images-are-available,,,,,,,,,,,,
_affordable_housing_in_wales,,,,,,,,,,,,
affordable_housing_in_wales,,,,,,,,,,,,
affordable_housing_provision,Environment,,,,,,,,,,,
_affordable_housing_provision_in_wales_analysis,,,,,,,,,,,,
affordable_housing_provision_in_wales_analysis,,,,,,,,,,,,
_affordable_housing_securing_planning_consent_scotland,,,,,,,,,,,,
affordable_housing_securing_planning_consent_scotland,,,,,,,,,,,,
affordable_housing_starts_and_completions_funded_by_the_homes_and_communities_agency_and_the_greater,,,,,,,,,,,,
affordable_housing_supply_england,,,,,,,,,,,,
_affordable_housing_survey_-_a_review_of_the_quality_of_affordable_housing_in_england,,,,,,,,,,,,
affordable_housing_survey-a_review_of_the_quality_of_affordable_housing_in_england,,,,,,,,,,,,
age_and_dependent_children_by_household_type_adults,,,,,,,,,,,,
age_and_dependent_children_by_household_type_household_reference_persons,,,,,,,,,,,,
age_and_general_health_by_ns-sec,,,,,,,,,,,,
age_and_limiting_long-term_illness_by_ns-sec,,,,,,,,,,,,
age_by_highest_level_of_qualification,,,,,,,,,,,,
age_by_sex_and_living_arrangements,,,,,,,,,,,,
age_by_sex_and_marital_status,,,,,,,,,,,,
age_by_sex_and_resident_type,,,,,,,,,,,,
age_five_year_age_bands,,,,,,,,,,,,
ageing_in_the_uk_datasets,,,,,,,,,,,,
ageing_in_the_uk_datasets_,,,,,,,,,,,,
__a_generational_accounts_approach_to_long_term_public_finance_in_the_uk,,,,,,,,,,,,
a_generational_accounts_approach_to_long_term_public_finance_in_the_uk,,,,,,,,,,,,
age_of_family_reference_person_frp_and_number_and_age_of_dependent_children_by_family_type,,,,,,,,,,,,
age_of_household_reference_person_hrp_and_dependent_children_by_approximated_social_grade,,,,,,,,,,,,
age_of_household_reference_person_hrp_and_number_of_dependent_children_by_migration_of_households,,,,,,,,,,,,
age_of_household_reference_person_hrp_and_tenure_by_economic_activity_of_hrp,,,,,,,,,,,,
age_of_household_reference_person_hrp_by_sex_and_living_arrangements,,,,,,,,,,,,
age_of_household_reference_person_hrp_by_sex_and_marital_status_headship,,,,,,,,,,,,
age_-_one_year_age_bands_2001_census,,,,,,,,,,,,
_age_participation_index_api,,,,,,,,,,,,
age_participation_index_api,,,,,,,,,,,,
age_-_workplace_population_2001_census,,,,,,,,,,,,
_aggregate_agricultural_accounts_for_the_united_kingdom,,,,,,,,,,,,
aggregate_agricultural_accounts_for_the_united_kingdom,,,,,,,,,,,,
_aggregate_agricultural_output_and_income,,,,,,,,,,,,
aggregate_agricultural_output_and_income,,,,,,,,,,,,
aggregates_levy_bulletin,Finance,,,,,,,,,,,
a-global-positioning-system-gps-survey-of-graffiti-around-the-central-campus-of-the-university-,,,,,,,,,,,,
agreed-international-aid-transparency-initiative-iati-implementation-plan,Government,,,,,,,,,,True,
agricultural-area-office-boundaries,,,,,,,,,,,,
_agricultural_market_reports,,,,,,,,,,,,
agricultural_market_reports,,,,,,,,,,,,
agricultural-parishes,,,,,,,,,,,,
_agricultural_price_index,,,,,,,,,,,,
agricultural_price_index,,,,,,,,,,,,
_agricultural_small_area_statistics_for_wales,,,,,,,,,,,,
agricultural_small_area_statistics_for_wales,,,,,,,,,,,,
_agricultural_statistics_in_your_pocket,,,,,,,,,,,,
agricultural_statistics_in_your_pocket,,,,,,,,,,,,
_agriculture_in_the_english_regions,,,,,,,,,,,,
agriculture_in_the_english_regions,,,,,,,,,,,,
_agriculture_in_the_united_kingdom,,,,,,,,,,,,
agriculture_in_the_united_kingdom,,,,,,,,,,,,
agri-environment-schemes,Environment,,,,,,,,,,,
ahrc-financial-transactions-over-25k,,,,,,,,,,,,
ahrc-senior-and-junior-staff-data-and-organogram-as-at-31st-march-2011,,,,,,,,,,,,
ahvla-gpc-over-500-pounds,Spending,,True,,,,,,,,True,
airborne-magnetic-survey-records-for-united-kingdom-and-adjacent-areas,,,,,,,,,,,,
air_emissions_-_benzene,,,,,,,,,,,,
air_emissions_-_nitrogen_oxide_nox,,,,,,,,,,,,
air_emissions_-_particulate_matter_pm10,,,,,,,,,,,,
air_emissions_-_sulphur_dioxide_so2,,,,,,,,,,,,
air_passenger_duty_bulletin,Government,,,,,,,,,,True,
_air_passenger_experience,,,,,,,,,,,,
air_passenger_experience,,,,,,,,,,,,
air-pollutant-types,Environment,,,,,,,,,,,
air-pollutant-types-including-greenhouse-gases,,,,,,,,,,,,
airports-commission-meetings-with-stakeholders,Transportation,,,,,,,,,,,
air_quality_-_benzene_concentrations,,,,,,,,,,,,
air_quality_indicator_for_sustainable_development,,,,,,,,,,,,
_air_quality_indicators,,,,,,,,,,,,
air_quality_indicators,,,,,,,,,,,,
air_quality_management_areas,,,,,,,,,,,,
air_quality_-_nitrogen_dioxide_no2_concentrations,,,,,,,,,,,,
air_quality_-_ozone_concentrations,,,,,,,,,,,,
air_quality_-_particulate_matter_pm10_concentrations,,,,,,,,,,,,
_air_quality_pollutant_inventories_for_england_scotland_wales_and_northern_ireland,,,,,,,,,,,,
air_quality_pollutant_inventories_for_england_scotland_wales_and_northern_ireland,,,,,,,,,,,,
air_quality_statistics,,,,,,,,,,,,
air_quality_-_sulphur_dioxide_so2_concentrations,,,,,,,,,,,,
air_transport_in_wales,,,,,,,,,,,,
alcohol_and_late_night_refreshment_licensing,,,,,,,,,,,,
_alcohol_and_tobacco_bulletins,,,,,,,,,,,,
alcohol_and_tobacco_bulletins,Finance,,,,,,,,,,True,
_alcohol_attributable_mortality_and_morbidity_-_alcohol_population_attributable_fractions_for_scotla,,,,,,,,,,,,
alcohol_attributable_mortality_and_morbidity-alcohol_population_attributable_fractions_for_scotland,,,,,,,,,,,,
_alcohol_brief_interventions,,,,,,,,,,,,
alcohol_brief_interventions,,,,,,,,,,,,
alcohol_brief_interventions_-_none,,,,,,,,,,,,
alcohol_consumption_in_black_and_minority_ethnic_groups_and_recent_immigrants_in_scotland,,,,,,,,,,,,
alcohol_duties_factsheet,,,,,,,,,,,,
alcohol_duties_statistical_bulletin,,,,,,,,,,,,
_alcohol_entertainment_and_late_night_refreshment_licensing,,,,,,,,,,,,
alcohol_entertainment_and_late_night_refreshment_licensing,,,,,,,,,,,,
alcohol-late-night-refreshment-licensing,Society,,,,,,,,,,,
alcohol-non-consumption-zones,,,,,,,,,,,,
alcohol_profile_-_alcohol-attributable_hospital_admission_females,,,,,,,,,,,,
alcohol_profile_-_alcohol-attributable_hospital_admission_males,,,,,,,,,,,,
alcohol_profile_-_alcohol_attributable_incapacity_benefit_claimants,,,,,,,,,,,,
alcohol_profile_-_alcohol-attributable_mortality_-_females,,,,,,,,,,,,
alcohol_profile_-_alcohol-attributable_mortality_-_males,,,,,,,,,,,,
alcohol_profile_-_alcohol-related_recorded_crimes,Health,,,,,,,,,,,
alcohol_profile_-_alcohol-related_recorded_sexual_offences,Society,,,,,,,,,,,
alcohol_profile_-_alcohol-related_recorded_violent_crimes,Society,,,,,,,,,,,
alcohol_profile_-_alcohol-specific_hospital_admission_females,,,,,,,,,,,,
alcohol_profile_-_alcohol-specific_hospital_admission_males,,,,,,,,,,,,
alcohol_profile_-_alcohol-specific_hospital_admission_under_18s,,,,,,,,,,,,
alcohol_profile_-_alcohol-specific_mortality_-_females,,,,,,,,,,,,
alcohol_profile_-_alcohol-specific_mortality_-_males,,,,,,,,,,,,
alcohol_profile_-_binge_drinking_synthetic_estimate,,,,,,,,,,,,
alcohol_profile_-_employees_in_bars_-_of_all_employees,,,,,,,,,,,,
alcohol_profile_-_harmful_drinking_synthetic_estimate,,,,,,,,,,,,
alcohol_profile_-_hazardous_drinking_synthetic_estimate,,,,,,,,,,,,
alcohol_profile_-_months_of_life_lost_due_to_alcohol_estimate_-_females,,,,,,,,,,,,
alcohol_profile_-_months_of_life_lost_due_to_alcohol_estimate_-_males,,,,,,,,,,,,
alcohol_profile_-_mortality_from_chronic_liver_disease_-_females,,,,,,,,,,,,
alcohol_profile_-_mortality_from_chronic_liver_disease_-_males,,,,,,,,,,,,
alcohol_profile_-_mortality_from_land_transport_accidents,,,,,,,,,,,,
_alcohol_related_deaths_in_northern_ireland,,,,,,,,,,,,
alcohol_related_deaths_in_northern_ireland,,,,,,,,,,,,
_alcohol-related_deaths_in_the_united_kingdom,,,,,,,,,,,,
alcohol-related_deaths_in_the_united_kingdom,,,,,,,,,,,,
alcohol-related_deaths_in_the_united_kingdom_,,,,,,,,,,,,
_alcohol-related_deaths_in_the_united_kingdom_-_2010,,,,,,,,,,,,
alcohol-related_hospital_statistics,,,,,,,,,,,,
_alcohol_statistics_scotland,,,,,,,,,,,,
_alcohol_statistics_scotland_,,,,,,,,,,,,
_alcohol_statistics_scotland__,,,,,,,,,,,,
alcohol_statistics_scotland,,,,,,,,,,,,
alcohol_statistics_scotland___,,,,,,,,,,,,
alcohol_statistics_scotland____,,,,,,,,,,,,
_alcohol_treatment_statistics_natms,,,,,,,,,,,,
alcohol_treatment_statistics_natms,,,,,,,,,,,,
all-bgs-raw-biostratigraphy-collections-and-data,,,,,,,,,,,,
all-bgs-value-added-biostratigraphy-collections-and-data,,,,,,,,,,,,
all-bromley-pct-invoices-2011-12,,,,,,,,,,,,
all_households_2001_census,,,,,,,,,,,,
_allied_health_professionals_and_other_technical_departments,,,,,,,,,,,,
_allied_health_professionals_and_other_technical_departments_,,,,,,,,,,,,
allied_health_professionals_and_other_technical_departments,,,,,,,,,,,,
allied_health_professionals_and_other_technical_departments_-_none,,,,,,,,,,,,
allocation-of-science-and-research-funding-2011-12-to-2014-15,,,,,,,,,,,,
allotments-in-brent,,,,,,,,,,,,
all_people_2001_census,,,,,,,,,,,,
all_supplier_transactions_monmouthshire,,,,,,,,,,,,
